,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,ppi
68,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.9,60719,0,0,141
69,Asus,Gaming,Intel Core i7,12,Nvidia GeForce,Other Os_system,3,104959,0,0,127
70,Microsoft,Ultrabook,Intel Core i5,4,Intel HD,Windows 10,1.252,120443,1,0,201
71,Dell,Ultrabook,Intel Core i7,8,AMD Radeon,Windows 10,1.4,105623,0,1,166
72,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,96222,0,0,141
73,MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.7,121107,0,0,127
74,Acer,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.1,43023,0,0,112
75,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,104959,0,0,141
76,Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.2,57401,0,0,141
77,Dell,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.02,94563,0,0,141
78,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,58618,0,0,141
79,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,108056,0,0,127
80,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.88,121217,0,1,141
81,Apple,Ultrabook,Intel Core i5,8,Intel HD, Mac OS,0.92,167006,0,1,226
82,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.63,95116,0,0,157
83,Lenovo,Notebook,AMD-A-Series,4,AMD R4,Windows 10,2.2,44129,0,0,141
84,Acer,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,2.1,43687,0,0,100
85,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,149199,0,1,141
86,HP,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.83,77309,0,1,141
87,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.96,66138,0,0,141
88,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.2,160259,0,1,141
89,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.21,182379,0,1,166
90,Asus,Gaming,AMD-F-Series,8,AMD Radeon,Windows 10,2.45,77309,0,0,141
91,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,76203,0,0,141
92,HP,Notebook,Intel Core i7,16,Intel UHD,Windows 10,1.49,132388,0,0,166
93,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.65,132167,0,0,141
94,Asus,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.25,116019,0,0,157
95,Acer,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.5,93678,1,1,166
96,Dell,Notebook,Intel Core i7,8,AMD Radeon,Other Os_system,2.2,66249,0,0,141
97,Dell,Notebook,Intel Core i3,4,AMD Radeon,Other Os_system,2.2,53641,0,0,141
98,Asus,Notebook,Intel Core i3,6,Nvidia GeForce,Windows 10,2,63816,0,0,141
99,HP,Gaming,Intel Core i7,12,Nvidia GeForce,Windows 10,2.62,138139,0,1,141
100,HP,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,1.91,79521,0,0,141
101,HP,Notebook,AMD-E-Series,4,AMD Radeon,Windows 10,2.1,38599,0,0,141
102,Dell,Notebook,Intel Core i5,8,AMD Radeon,Other Os_system,2.2,71558,0,0,141
103,HP,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.38,123761,0,1,166
104,Microsoft,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.252,148204,1,0,201
105,HP,Notebook,Intel Core i5,6,Nvidia GeForce,Windows 10,1.58,72885,0,1,157
106,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.85,45788,0,0,141
107,Asus,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.3,131945,0,1,157
108,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.2,143669,0,0,141
109,Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.58,163688,0,1,157
110,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.5,139577,0,0,141
111,Dell,Ultrabook,Intel Core i7,8,Intel Iris,Windows 10,1.23,152517,1,0,276
112,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.37,154729,1,1,166
113,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.63,79853,0,1,112
114,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.21,180167,0,1,166
115,HP,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.26,154618,1,1,166
116,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.63,119890,0,0,157
117,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.16,124978,0,1,141
118,Asus,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2,62378,0,0,127
119,Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.7,123650,0,0,141
120,Acer,Notebook,Intel Core i3,6,Intel HD,Windows 10,2.1,52977,1,1,141
121,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,1.8,247854,0,0,141
122,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.2,69567,0,0,141
123,HP,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,140572,0,0,127
124,Acer,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,2.1,49880,0,0,100
125,HP,Notebook,Other Intel Processor,4,Intel HD,No OS,1.86,28645,0,0,100
126,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.63,89807,0,0,157
127,Asus,Notebook,AMD-E-Series,4,AMD Radeon,Windows 10,1.65,30636,0,0,112
128,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.8,154397,0,0,127
129,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,2.5,102636,0,0,127
130,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.36,70562,0,0,100
131,Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.2,49659,0,0,141
132,Acer,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.6,97770,0,1,157
133,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,63263,0,0,141
134,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.05,66138,0,0,100
135,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.63,109272,0,0,157
136,Lenovo,Notebook,Other Intel Processor,4,Intel HD,No OS,1.9,27871,0,0,100
137,Asus,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,3,103742,0,0,127
138,Lenovo,Notebook,Intel Core i5,4,Nvidia GeForce,No OS,2.2,55189,0,0,141
139,HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.32,77309,0,1,166
140,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,3,72443,0,1,127
141,Lenovo,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,1.75,123429,0,1,157
142,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,No OS,2.4,96111,0,1,141
143,Toshiba,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,66581,0,0,100
144,HP,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,1.86,40811,0,0,100
145,Asus,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.25,121549,0,0,157
146,HP,Ultrabook,Other Intel Processor,8,Intel HD,Windows 10,0.97,222748,1,1,352
147,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2,38046,0,0,141
148,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,224407,0,0,127
149,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,49438,0,0,100
150,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.56,138139,0,0,141
151,Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.62,99429,0,0,141
152,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.9,55078,0,0,100
153,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.8,209034,0,0,127
154,HP,Ultrabook,Intel Core i5,4,Intel HD,Windows 10,1.48,119669,0,0,157
155,HP,Notebook,Intel Core i5,6,AMD Radeon,Windows 10,1.91,68461,0,0,141
156,Lenovo,2 in 1 Convertible,Intel Core i3,4,Intel HD,Windows 10,1.74,69567,1,1,157
157,Asus,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.1,145439,1,0,166
158,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.56,116019,1,0,141
159,Toshiba,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,49438,0,0,100
160,Asus,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,2.03,44571,0,0,100
161,Acer,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,3,89033,0,1,127
162,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.13,80516,0,0,141
163,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,119337,0,1,141
164,Acer,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,38488,0,0,100
165,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.4,198969,0,1,141
166,Acer,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,40147,0,0,100
167,Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.56,117236,0,0,141
168,Acer,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,3,94452,0,1,127
169,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.49,83392,0,1,166
170,Huawei,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.05,149199,0,1,200
171,HP,Notebook,Intel Core i5,6,AMD Radeon,Windows 10,2.71,77309,0,1,127
172,Lenovo,Notebook,AMD-A-Series,4,AMD Radeon,No OS,2.2,34175,0,0,100
173,Toshiba,Notebook,Intel Core i3,4,Intel HD,Windows 10,2,54083,0,0,100
174,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,102083,0,0,127
175,Dell,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.3,50765,0,0,100
176,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,49659,0,0,100
177,MSI,Gaming,Intel Core i7,32,Nvidia GTX,Windows 10,4.4,309569,0,0,120
178,Lenovo,Notebook,Intel Core i5,8,AMD R17M-M1-70,Windows 10,1.90,89917,0,0,141
179,HP,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.29,165789,1,1,331
180,Dell,Notebook,Intel Core i7,16,AMD Radeon,Other Os_system,2.02,116019,0,0,141
181,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.23,154729,0,0,166
182,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.4,204499,1,1,317
183,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,87705,0,0,100
184,Xiaomi,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,1.95,132609,0,1,141
185,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.77,171319,1,0,127
186,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.06,265108,1,0,282
187,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,No OS,2.4,86157,0,1,141
188,Acer,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.12,109383,0,1,166
189,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.8,120001,0,0,127
190,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.42,312334,1,0,210
191,Vero,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.3,28756,0,1,157
192,Xiaomi,Ultrabook,Intel Core i5,8,Nvidia GeForce,No OS,1.3,110489,0,1,166
193,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.8,77198,0,0,106
194,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.62,92793,1,1,166
195,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,101088,0,1,127
196,Razer,Gaming,Intel Core i7,32,Nvidia GeForce,Windows 10,3.49,674549,1,0,255
197,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.49,106065,0,0,166
198,HP,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.35,152517,0,1,127
199,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,115577,0,0,127
200,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,204057,0,1,282
201,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,54525,0,0,100
202,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.23,82065,0,0,141
203,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.2,193439,0,1,141
204,Dell,Workstation,Other Intel Processor,16,Nvidia Quadro,Windows 10,2.8,337883,0,0,282
205,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,No OS,2.4,154618,0,0,141
206,Dell,Notebook,Intel Core i3,6,Intel HD,Windows 10,2.3,48553,1,0,100
207,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.21,215559,1,1,331
208,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.2,160259,0,0,166
209,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.2,66028,0,0,100
210,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Other Os_system,2.4,86157,0,0,141
211,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,155614,0,0,127
212,HP,Notebook,Intel Core i3,4,Intel HD,No OS,2.1,38599,0,0,141
213,Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.2,60719,0,0,141
214,Huawei,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.05,165789,0,1,200
215,Dell,Ultrabook,Intel Core i7,8,AMD Radeon,Windows 10,1.4,102968,0,1,166
216,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.8,65143,0,0,106
217,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.63,114028,0,0,157
218,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.6,127079,0,0,157
219,Dell,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.62,141457,1,0,166
220,Dell,Notebook,Intel Core i5,8,AMD Radeon,Other Os_system,2.2,74876,0,0,141
221,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.74,99429,0,1,157
222,Toshiba,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.2,150747,0,0,166
223,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,2.1,87816,0,0,141
224,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.42,271633,0,1,127
225,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,92019,0,0,141
226,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.3,95005,1,0,141
227,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2,85051,0,0,141
228,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.69,98544,0,0,127
229,HP,Notebook,Intel Core i7,8,AMD FirePro,Windows 10,1.9,140351,0,0,141
230,Asus,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.37,44018,0,0,100
231,HP,Notebook,AMD-E-Series,4,AMD Radeon,Windows 10,2.1,36498,0,0,100
232,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.2,165789,0,1,141
233,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.6,95005,0,0,157
234,Acer,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.6,76203,1,1,166
235,Dell,Notebook,Intel Core i7,16,AMD Radeon,Other Os_system,2.36,99429,0,0,141
236,Acer,Notebook,Intel Core i3,4,Intel HD,Other Os_system,2.1,43134,0,0,100
237,Asus,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,2.2,63595,0,0,141
238,Asus,Gaming,Intel Core i7,32,Nvidia GeForce,Windows 10,4.7,430234,0,0,127
239,Acer,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,93567,0,1,141
240,Lenovo,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.2,65143,0,0,100
241,Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.1,126637,0,0,127
242,Asus,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.69,98323,0,0,127
243,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.56,97217,0,0,141
244,Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.38,119337,1,1,158
245,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,108941,0,0,141
246,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.04,61825,1,0,100
247,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.6,331689,0,0,127
248,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.49,74655,0,1,166
249,Apple,Ultrabook,Intel Core i5,8,Intel Iris, Mac OS,1.37,225624,0,1,227
250,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,2.08,90581,1,1,141
251,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.3,198969,0,0,127
252,Asus,Notebook,AMD-A-Series,4,AMD Radeon,Windows 10,1.68,51871,0,0,100
253,Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.37,204499,1,1,158
254,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,3,77641,0,1,127
255,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.41,104959,0,0,166
256,HP,Notebook,AMD-A-Series,8,AMD Radeon,Windows 10,1.91,49217,0,0,100
257,HP,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,117125,0,1,127
258,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.14,276389,0,0,127
259,Lenovo,2 in 1 Convertible,Intel Core i7,8,Nvidia GeForce,Windows 10,2,187909,1,1,141
260,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.8,126305,0,0,127
261,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,2.2,49106,0,0,141
262,HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,79853,0,1,141
263,Dell,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.18,72664,0,0,141
264,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.24,62489,0,0,141
265,Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,2.67,88369,1,0,141
266,Asus,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.1,165789,1,0,166
267,Lenovo,Notebook,Intel Core i5,4,Intel HD,No OS,2.2,51650,0,0,141
268,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,112590,0,0,127
269,Lenovo,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.05,97328,0,0,141
270,Apple,Ultrabook,Intel Core i5,8,Intel Iris, Mac OS,1.37,216554,0,1,227
271,Asus,Gaming,AMD-Rysen-Series,16,AMD Radeon,Windows 10,3.2,171319,0,0,127
272,Dell,Notebook,Intel Core i7,8,AMD Radeon,Other Os_system,2.14,81291,0,0,141
273,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.36,276389,1,0,210
274,Toshiba,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,89807,0,0,100
275,Dell,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.3,78857,0,0,100
276,Dell,Notebook,Intel Core i7,8,AMD Radeon,Other Os_system,2.8,121549,0,0,127
277,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,82397,0,1,141
278,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.8,54083,0,0,106
279,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.8,93899,0,0,127
280,Lenovo,Notebook,Intel Core i7,6,Nvidia GeForce,Windows 10,2.8,95005,0,0,106
281,Dell,Notebook,Intel Core i3,4,AMD Radeon,Other Os_system,2.25,47336,0,0,141
282,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,91687,0,1,141
283,Lenovo,Notebook,Intel Core i5,6,Intel HD,Windows 10,2.2,64037,0,0,141
